address,city,postal_code,price,price_per_m2,year_built,area,rooms,bedrooms
Schellingwouderdijk 319,Amsterdam,1023 NK,850000,6204.38,1900,137,6,4
Nieuwe Osdorpergracht 251,Amsterdam,1068 HV,550000,3642.38,2016,151,6,5
Cannenburg 24,Amsterdam,1081 GZ,995000,5407.61,1966,184,5,4
Iwan Kantemanplein 64,Amsterdam,1060 RM,575000,3248.59,1999,177,5,4
Potvisstraat 57,Amsterdam,1035 HJ,325000,3494.62,1992,93,4,3
Mijndenhof 41,Amsterdam,1106 GC,325000,2685.95,1981,121,5,4
Cannenburg 9,Amsterdam,1081 GT,2500,8.33,1965,300,7,5
Erich Salomonstraat 44,Amsterdam,1087 AW,750000,3968.25,2004,189,5,4
Jacob Obrechtstraat 7,Amsterdam,1071 KC,3000,8.65,1890,347,13,6
Anton H̦lzelsingel 8,Amsterdam,1069 PN,435000,3990.83,1990,109,4,3
Buiksloterdijk 390,Amsterdam,1034 ZH,1200,6.56,1906,183,5,3
Gerda Brautigamstraat 33,Amsterdam,1067 VM,375000,3318.58,1991,113,4,3
Floraweg 24,Amsterdam,1032 XM,369511,4347.19,1989,85,4,3
Wierdestraat 49,Amsterdam,1069 VW,495000,3750.00,2012,132,5,4
